,author,title,format,mirror0,mirror1,mirror2
1551,Kazys Saja,…kurio nieks nemylėjo,epub,http://books.ms/fiction/2E5A7281AC904496DE623B79FF398F59,https://libgen.li/ads.php?md5=2E5A7281AC904496DE623B79FF398F59,
1552,Jonas Aistis,Peizažas,epub,http://books.ms/fiction/6C2C830DD2E8773A9D65B8EF27F7DCA5,https://libgen.li/ads.php?md5=6C2C830DD2E8773A9D65B8EF27F7DCA5,
1553,Judita Vaičiūnaitė,Poezija,epub,http://books.ms/fiction/37FEF496B84EF3A1A7839F571ADEA8FE,https://libgen.li/ads.php?md5=37FEF496B84EF3A1A7839F571ADEA8FE,
1554,Johanna Spyri,Heida,epub,http://books.ms/fiction/5843887751D673FA21BECC40B7157EC6,https://libgen.li/ads.php?md5=5843887751D673FA21BECC40B7157EC6,
1555,Jurgis Savickis,Kelionės,epub,http://books.ms/fiction/2B8BAB2E57CC95AE215FD3181FC1495B,https://libgen.li/ads.php?md5=2B8BAB2E57CC95AE215FD3181FC1495B,
1556,Jurgis Jankus,Po raganos kirviu. Senas kareivis Matatutis,epub,http://books.ms/fiction/C2D7ED3DE2A1F55D3DAC50873B515F62,https://libgen.li/ads.php?md5=C2D7ED3DE2A1F55D3DAC50873B515F62,
1557,Jurga Ivanauskaitė,Kelionių alchemija,epub,http://books.ms/fiction/F7548039BB1C944358FD85E63961A2DE,https://libgen.li/ads.php?md5=F7548039BB1C944358FD85E63961A2DE,
1558,Jurga Ivanauskaitė,Kelionė į Šambalą,epub,http://books.ms/fiction/272DA43A92D584E5EC137687EB527A8C,https://libgen.li/ads.php?md5=272DA43A92D584E5EC137687EB527A8C,
1559,Juozas Erlickas,Bobutė iš Paryžiaus,epub,http://books.ms/fiction/90A7C429D173124C4C5B928DD50DE63B,https://libgen.li/ads.php?md5=90A7C429D173124C4C5B928DD50DE63B,
1560,Juozas Erlickas,"Bilietas iš dangaus, arba Jono Grigo kelionė greituoju traukiniu",epub,http://books.ms/fiction/32AF74BBA35C39FC6F95139B3499176B,https://libgen.li/ads.php?md5=32AF74BBA35C39FC6F95139B3499176B,
1561,Jonas Biliūnas,Laimės žiburys,epub,http://books.ms/fiction/01E8B80F05892E90FBBCCA385F0209A1,https://libgen.li/ads.php?md5=01E8B80F05892E90FBBCCA385F0209A1,
1562,Jonas Biliūnas,Kūdikystės sapnai,epub,http://books.ms/fiction/131698783422094D50318D1189A2476C,https://libgen.li/ads.php?md5=131698783422094D50318D1189A2476C,
1563,Henrikas Radauskas,Balti malūnai. Gėlė ir vėjas. Lietus,epub,http://books.ms/fiction/5BE646276AA6D59187F9D622CD00D07D,https://libgen.li/ads.php?md5=5BE646276AA6D59187F9D622CD00D07D,
1564,Vanda Markovska,Graikų mitai,epub,http://books.ms/fiction/510165465E8D7E1EAA6B3D2DCD50D558,https://libgen.li/ads.php?md5=510165465E8D7E1EAA6B3D2DCD50D558,
1565,Gendrutis Morkūnas,Vasara su Katšuniu,epub,http://books.ms/fiction/5DFF48D41BEEB484C1701CC83685D02E,https://libgen.li/ads.php?md5=5DFF48D41BEEB484C1701CC83685D02E,
1566,Frances Hodgson Burnett,Paslaptingas sodas,epub,http://books.ms/fiction/240CA665C9E844A5967868DEDC33925A,https://libgen.li/ads.php?md5=240CA665C9E844A5967868DEDC33925A,
1567,Valdemaras Kukulas,Vėjo birbynė,epub,http://books.ms/fiction/573E8F7D6E367006948A2F92CB1171A6,https://libgen.li/ads.php?md5=573E8F7D6E367006948A2F92CB1171A6,
1568,Vytautas Račickas,Jos vardas Nippė,epub,http://books.ms/fiction/8F650DCBA7753266ABED0F2834353E17,https://libgen.li/ads.php?md5=8F650DCBA7753266ABED0F2834353E17,
1569,Vytautas Račickas,Zuika padūkėlis,epub,http://books.ms/fiction/BE9D737B73430B8A06E1D7FBFB606AA2,https://libgen.li/ads.php?md5=BE9D737B73430B8A06E1D7FBFB606AA2,
1570,Vladas Dautartas,Žydrieji Jungos,epub,http://books.ms/fiction/85691ACA0CDEA88887EBCA95FC2B2CF4,https://libgen.li/ads.php?md5=85691ACA0CDEA88887EBCA95FC2B2CF4,
1571,Vincas Krėvė,Dainavos šalies senų žmonių padavimai,epub,http://books.ms/fiction/13C06E6805240BEF7D50700EDAB4BE50,https://libgen.li/ads.php?md5=13C06E6805240BEF7D50700EDAB4BE50,
1572,Vincas Krėvė,Skerdžius,epub,http://books.ms/fiction/BA6A5E645A3944377BB779142E952EDE,https://libgen.li/ads.php?md5=BA6A5E645A3944377BB779142E952EDE,
1573,Vincas Krėvė,Galvažudys,epub,http://books.ms/fiction/46A8283DD482EC851ED9B0A50B11A7CC,https://libgen.li/ads.php?md5=46A8283DD482EC851ED9B0A50B11A7CC,
1574,Salomėja Nėris,Eglė žalčių karalienė,epub,http://books.ms/fiction/E7BF75EA1583F1DB1A4E25F148060567,https://libgen.li/ads.php?md5=E7BF75EA1583F1DB1A4E25F148060567,
1575,Sigitas Parulskis,Eilėraščiai,epub,http://books.ms/fiction/637973D2C6E7A9E6F9AC5238C78D269F,https://libgen.li/ads.php?md5=637973D2C6E7A9E6F9AC5238C78D269F,
1576,Šatrijos Ragana,Irkos tragedija,epub,http://books.ms/fiction/92A1895EA50415F3AB69866E0476E24D,https://libgen.li/ads.php?md5=92A1895EA50415F3AB69866E0476E24D,
1577,Sigitas Poškus,Nebaigta pasaka,epub,http://books.ms/fiction/0E44369190440F1DF030872E66F86251,https://libgen.li/ads.php?md5=0E44369190440F1DF030872E66F86251,
1578,Broliai Grimai,Vaikų ir namų pasakos,epub,http://books.ms/fiction/0D7AA2F16D020E4A575D879FB9F0C2FD,https://libgen.li/ads.php?md5=0D7AA2F16D020E4A575D879FB9F0C2FD,
1579,Bitė Vilimaitė,Papartynų saulė,epub,http://books.ms/fiction/D5C1AB8EE72EA5A32BD4AB9F30EEF172,https://libgen.li/ads.php?md5=D5C1AB8EE72EA5A32BD4AB9F30EEF172,
1580,Balys Sruoga,Giesmė apie Gediminą,epub,http://books.ms/fiction/9A33B10FF5C192951576AD565E47DA5B,https://libgen.li/ads.php?md5=9A33B10FF5C192951576AD565E47DA5B,
1581,Bronius Radzevičius,Link Debesijos,epub,http://books.ms/fiction/CFD5D87F0697B6AE7251270084F647BE,https://libgen.li/ads.php?md5=CFD5D87F0697B6AE7251270084F647BE,
1582,Antanas Vienuolis,Padavimai ir legendos,epub,http://books.ms/fiction/0A45D8652797F50F037B948954031C2B,https://libgen.li/ads.php?md5=0A45D8652797F50F037B948954031C2B,
1583,Antanas Vaičiulaitis,Nidos žvėrys. Auksinė kurpelė,epub,http://books.ms/fiction/8B64F333F11993D9C1F0B88F9E530339,https://libgen.li/ads.php?md5=8B64F333F11993D9C1F0B88F9E530339,
1584,Antanas Ramonas,Vilniaus legendos. Pasakos,epub,http://books.ms/fiction/A79BB4C23C75ADD290FB33800044D7F3,https://libgen.li/ads.php?md5=A79BB4C23C75ADD290FB33800044D7F3,
1585,Adomas Mickevičius,Gražina. Konradas Valenrodas,epub,http://books.ms/fiction/666886138CC14BD4FAA965414010283D,https://libgen.li/ads.php?md5=666886138CC14BD4FAA965414010283D,
1586,Aidas Marčėnas,Žmogaus žvaigždė,epub,http://books.ms/fiction/A05B9A70562823E539548472DDD79083,https://libgen.li/ads.php?md5=A05B9A70562823E539548472DDD79083,
1587,Arthur Conan Doyle,Rinktiniai raštai (3),epub,http://books.ms/fiction/6957314D90BF0D1EA76A5B48130259A8,https://libgen.li/ads.php?md5=6957314D90BF0D1EA76A5B48130259A8,
1588,Arthur Conan Doyle,Užrašai apie Šerloką Holmsą,epub,http://books.ms/fiction/EB3721A6C0BD1AD8668E572F264926C2,https://libgen.li/ads.php?md5=EB3721A6C0BD1AD8668E572F264926C2,
1589,Alis Balbierius,Giedančios upės,epub,http://books.ms/fiction/F255DDE0B95CC7DEB3FC5D164CCF530B,https://libgen.li/ads.php?md5=F255DDE0B95CC7DEB3FC5D164CCF530B,
1590,Sigitas Geda,Baltoji varnelė,epub,http://books.ms/fiction/32C9CB89A1C14600F5601D3097B563AE,https://libgen.li/ads.php?md5=32C9CB89A1C14600F5601D3097B563AE,
1591,Susan Coolidge,Ką nuveikė Keitė,epub,http://books.ms/fiction/5AA7F779CB3CFEB6E9F2241935453B43,https://libgen.li/ads.php?md5=5AA7F779CB3CFEB6E9F2241935453B43,
1592,Selma Lagerlöf,Portugalijos karalius,epub,http://books.ms/fiction/284CC05C6026FA004D4BCF0DC4D978A8,https://libgen.li/ads.php?md5=284CC05C6026FA004D4BCF0DC4D978A8,
1593,Salomėja Nėris,Anksti rytą,epub,http://books.ms/fiction/203C3A7601A1467C500BF1DE277B0D76,https://libgen.li/ads.php?md5=203C3A7601A1467C500BF1DE277B0D76,
1594,Vytautė Žilinskaitė,Nebijokė,epub,http://books.ms/fiction/5AC9D37E48EB04D12AB281EC5CF41820,https://libgen.li/ads.php?md5=5AC9D37E48EB04D12AB281EC5CF41820,
1595,Vytautė Žilinskaitė,Kintas,epub,http://books.ms/fiction/CF1077A7F582B2EA7FACF540DA0F5AE5,https://libgen.li/ads.php?md5=CF1077A7F582B2EA7FACF540DA0F5AE5,
1596,William Shakespeare,Romeo ir Džuljeta,epub,http://books.ms/fiction/1234644EE30C2F0A776C7A2A2208B6CF,https://libgen.li/ads.php?md5=1234644EE30C2F0A776C7A2A2208B6CF,
1597,Kazys Puida,Magnus Dux,epub,http://books.ms/fiction/17F337F34799E270BE28D943C8CB2CE4,https://libgen.li/ads.php?md5=17F337F34799E270BE28D943C8CB2CE4,
1598,Jonas Biliūnas,Įvairūs apsakymėliai,epub,http://books.ms/fiction/C5FD5789A8905AEE646DAA5E68882F35,https://libgen.li/ads.php?md5=C5FD5789A8905AEE646DAA5E68882F35,
1599,Antanas Kriščiukaitis-Aišbė,Kas teisybė--tai ne melas,epub,http://books.ms/fiction/EF3B17E58911F30DD86276A0521DD35D,https://libgen.li/ads.php?md5=EF3B17E58911F30DD86276A0521DD35D,
1600,Adam Asnyk,Kęstutis,epub,http://books.ms/fiction/986956C41EF318553FBC1B3E63E0F22E,https://libgen.li/ads.php?md5=986956C41EF318553FBC1B3E63E0F22E,
1601,Adam Mickiewicz,Krymo sonetai,epub,http://books.ms/fiction/6B321226B098B5FBBE6A3624D0CBF10D,https://libgen.li/ads.php?md5=6B321226B098B5FBBE6A3624D0CBF10D,
1602,Liudvika Didžiulienė-Žmona,Lietuvaitės,epub,http://books.ms/fiction/8D7E0D0EDE4CC1CF94362308895D07D9,https://libgen.li/ads.php?md5=8D7E0D0EDE4CC1CF94362308895D07D9,
1603,Jonas Biliūnas,Liūdna pasaka,epub,http://books.ms/fiction/ED0628EDA75F796B2BAA80872BCF1FA7,https://libgen.li/ads.php?md5=ED0628EDA75F796B2BAA80872BCF1FA7,
1604,Vincas Kudirka,Mindaugas,epub,http://books.ms/fiction/DBA1760188941740BBC5D97C1FD9FF27,https://libgen.li/ads.php?md5=DBA1760188941740BBC5D97C1FD9FF27,
1605,Adam Mickiewicz,Gražina,epub,http://books.ms/fiction/649BDA3FEE97B5ABA83840B9120B2367,https://libgen.li/ads.php?md5=649BDA3FEE97B5ABA83840B9120B2367,
1606,Dorothy Koomson,Šokoladinis pabėgimas,epub,http://books.ms/fiction/35D295251EF5B949E7C9A1EB46AF574A,https://libgen.li/ads.php?md5=35D295251EF5B949E7C9A1EB46AF574A,
1607,Ignas Šeinius,Kuprelis,epub,http://books.ms/fiction/2485BB99442E8C382F551A820A09C633,https://libgen.li/ads.php?md5=2485BB99442E8C382F551A820A09C633,
1608,Ray Bradbury,451° Farenheito,epub,http://books.ms/fiction/C755F4AB394FCDA8647707FB0C12C328,https://libgen.li/ads.php?md5=C755F4AB394FCDA8647707FB0C12C328,
1609,Rasa Aškinytė,Lengviausias,epub,http://books.ms/fiction/2EEE9CDBB7D5443999A5A878873D2CB6,https://libgen.li/ads.php?md5=2EEE9CDBB7D5443999A5A878873D2CB6,
1610,Guy de Maupassant,Vieno gyvenimo istorija,epub,http://books.ms/fiction/4EFFF0AF9813D2707DA4DEE4337B521F,https://libgen.li/ads.php?md5=4EFFF0AF9813D2707DA4DEE4337B521F,
1611,Anton Hansen Tammsaare,Tiesa ir teisingumas,epub,http://books.ms/fiction/4F4B309448E9A2DE284F100383B03F17,https://libgen.li/ads.php?md5=4F4B309448E9A2DE284F100383B03F17,
1612,Paulo Coelho,Rankraštis rastas Akroje,epub,http://books.ms/fiction/BDCDEC2FEBD0BC4939948ECE7A055330,https://libgen.li/ads.php?md5=BDCDEC2FEBD0BC4939948ECE7A055330,
1613,Jules Verne,Penkiolikos metų kapitonas,epub,http://books.ms/fiction/B0E50EAE744E7CDEF6E9A5CF8204C536,https://libgen.li/ads.php?md5=B0E50EAE744E7CDEF6E9A5CF8204C536,
1614,Jules Verne,Žangada,epub,http://books.ms/fiction/448DEE63D92E3680E605163215AF8EE7,https://libgen.li/ads.php?md5=448DEE63D92E3680E605163215AF8EE7,
1615,Joris-Karl Huysmans,Atvirkščiai,epub,http://books.ms/fiction/94B6AF12EDEE70EEA9F0FE023F11458D,https://libgen.li/ads.php?md5=94B6AF12EDEE70EEA9F0FE023F11458D,
1616,Oscar Wilde,Laimingasis Princas ir kitos pasakos,epub,http://books.ms/fiction/B7CB810912C4E9187494DCE4376E4696,https://libgen.li/ads.php?md5=B7CB810912C4E9187494DCE4376E4696,
1617,Irvin D. Yalom,Spinozos problema,epub,http://books.ms/fiction/29D0F5517E6E7BDFC7746474B18A6492,https://libgen.li/ads.php?md5=29D0F5517E6E7BDFC7746474B18A6492,
1618,Viktor Emil Frankl,Ko mano knygose nėra,epub,http://books.ms/fiction/42BD948BE9DCA0D1F00411CAD8F47D6F,https://libgen.li/ads.php?md5=42BD948BE9DCA0D1F00411CAD8F47D6F,
1619,Paulo Coelho,Alefas,epub,http://books.ms/fiction/85FB91FF9B17D0F5950E1021BB60B0FC,https://libgen.li/ads.php?md5=85FB91FF9B17D0F5950E1021BB60B0FC,
1620,Geneen Roth,"Moterys, maistas ir Dievas",epub,http://books.ms/fiction/2FFB116D17FB9731CE37C00EB6162BD6,https://libgen.li/ads.php?md5=2FFB116D17FB9731CE37C00EB6162BD6,
1621,Neil Gaiman,Anansio vaikai,epub,http://books.ms/fiction/760A76E20B9F32544C71B981E0CC1B11,https://libgen.li/ads.php?md5=760A76E20B9F32544C71B981E0CC1B11,
1622,Victor Hugo,Vargdieniai. 3 tomas,epub,http://books.ms/fiction/A876CFE64F29D07657886C15B85CA6E3,https://libgen.li/ads.php?md5=A876CFE64F29D07657886C15B85CA6E3,
1623,Phillipe Claudel,Pilkosios sielos,epub,http://books.ms/fiction/1618B7632845820D98EEC1D46617D237,https://libgen.li/ads.php?md5=1618B7632845820D98EEC1D46617D237,
1624,Bernard Cornwell,Šarpo tigras,epub,http://books.ms/fiction/EB4C9DC927A40EB9445FDA49192EDD12,https://libgen.li/ads.php?md5=EB4C9DC927A40EB9445FDA49192EDD12,
1625,Victor Hugo,Vargdieniai. 2 tomas,epub,http://books.ms/fiction/0CC6049B197876AF6950BA99828F77E1,https://libgen.li/ads.php?md5=0CC6049B197876AF6950BA99828F77E1,
1626,Paul Bourget,Mokinys,epub,http://books.ms/fiction/EF95EE16D660CF78E54B054356D63C4E,https://libgen.li/ads.php?md5=EF95EE16D660CF78E54B054356D63C4E,
1627,Sam Savage,Firminas,epub,http://books.ms/fiction/97E57714C32167C1F4E8E03BFDB9FEFB,https://libgen.li/ads.php?md5=97E57714C32167C1F4E8E03BFDB9FEFB,
1628,Victor Hugo,Vargdieniai. 1 tomas,epub,http://books.ms/fiction/CC8EAB85CC6364D141631C95A90A2FEA,https://libgen.li/ads.php?md5=CC8EAB85CC6364D141631C95A90A2FEA,
1629,Jean-Paul Sartre,Šleikštulys,epub,http://books.ms/fiction/5969408128FEF65B1F3CD5268D0F418D,https://libgen.li/ads.php?md5=5969408128FEF65B1F3CD5268D0F418D,
1630,Niccolo Machiavelli,Valdovas,epub,http://books.ms/fiction/E2C163DAC966D87C1E2A7684C2BCF5A7,https://libgen.li/ads.php?md5=E2C163DAC966D87C1E2A7684C2BCF5A7,
1631,Jerome K. Jerome,Trise valtimi,epub,http://books.ms/fiction/B853A7421E4718CDD633E8452A6F8EC6,https://libgen.li/ads.php?md5=B853A7421E4718CDD633E8452A6F8EC6,
1632,August Strindberg,Pamišėlio išpažintis,epub,http://books.ms/fiction/AD1A6B4E55A3C6F5BA6CFDED6F85D592,https://libgen.li/ads.php?md5=AD1A6B4E55A3C6F5BA6CFDED6F85D592,
1633,John Galsworthy,Baltoji beždžionė,epub,http://books.ms/fiction/4AFAC2FB4A80CD5FAEA0E3BDF29D1AD9,https://libgen.li/ads.php?md5=4AFAC2FB4A80CD5FAEA0E3BDF29D1AD9,
1634,Henrik Pontoppidan,"Peras, laimės kūdikis",epub,http://books.ms/fiction/847B1CD4CA20898E84C89E7DA5E378C0,https://libgen.li/ads.php?md5=847B1CD4CA20898E84C89E7DA5E378C0,
1635,James Joyce,Dubliniečiai,epub,http://books.ms/fiction/274FA4FCE70A1F5BE6CBF7269D6C052C,https://libgen.li/ads.php?md5=274FA4FCE70A1F5BE6CBF7269D6C052C,
1636,Jack London,Smokas Belju,epub,http://books.ms/fiction/A5C3BAA1E06B60549DF30F8FC2391B34,https://libgen.li/ads.php?md5=A5C3BAA1E06B60549DF30F8FC2391B34,
1637,Alfredo Abarca,Įslaptinta byla,epub,http://books.ms/fiction/C3999C680DF0D81C6DFB25F24A2149B9,https://libgen.li/ads.php?md5=C3999C680DF0D81C6DFB25F24A2149B9,
1638,Irvin D. Yalom,Meilės budelis ir kitos psichoterapinės istorijos,epub,http://books.ms/fiction/521B132AD98BFA2DC4CACBBB322D9582,https://libgen.li/ads.php?md5=521B132AD98BFA2DC4CACBBB322D9582,
1639,Paulo Coelho,Šviesos kario vadovas,epub,http://books.ms/fiction/E03549837E99B1CB5F4EF72FCFFC2FFB,https://libgen.li/ads.php?md5=E03549837E99B1CB5F4EF72FCFFC2FFB,
1640,Paulo Coelho,Veronika ryžtasi mirti,epub,http://books.ms/fiction/F1F5D7FC189A48F7C512673F6C3196D9,https://libgen.li/ads.php?md5=F1F5D7FC189A48F7C512673F6C3196D9,
1641,Guy de Maupassant,Pjeras ir Žanas,epub,http://books.ms/fiction/3A65D0DA42A24C4657693091B5E7BCF1,https://libgen.li/ads.php?md5=3A65D0DA42A24C4657693091B5E7BCF1,
1642,Paulo Coelho,Vienuolika minučių,epub,http://books.ms/fiction/620FDAF9AEB17828A935896C85965A70,https://libgen.li/ads.php?md5=620FDAF9AEB17828A935896C85965A70,
1643,Thomas Harris,Hanibalas,epub,http://books.ms/fiction/16D5E544CCA52F5397C0542DEA82D63D,https://libgen.li/ads.php?md5=16D5E544CCA52F5397C0542DEA82D63D,
1644,Tom Clancy,„Raudonojo Spalio“ medžioklė,epub,http://books.ms/fiction/CEB4CD41699EEAA894382EA64EA49D7B,https://libgen.li/ads.php?md5=CEB4CD41699EEAA894382EA64EA49D7B,
1645,Jacqueline Harpman,"Aš, nepažinusi vyrų",epub,http://books.ms/fiction/FCA7E8E67070902288A66B622AC6F3F4,https://libgen.li/ads.php?md5=FCA7E8E67070902288A66B622AC6F3F4,
1646,Edward Morgan Forster,Kur nedrįsta žengti angelai. Kelias į Indiją,epub,http://books.ms/fiction/234C24E296340F50FC3C1C7621A0D6FC,https://libgen.li/ads.php?md5=234C24E296340F50FC3C1C7621A0D6FC,
1647,Kōbō Abe,Žmogus-dėžė,epub,http://books.ms/fiction/7C943A481020F3A4409AE241FC3DDFB2,https://libgen.li/ads.php?md5=7C943A481020F3A4409AE241FC3DDFB2,
1648,Joseph Conrad,Apysakos. Apsakymai,epub,http://books.ms/fiction/E9F46A50020F292EDAAE1A9B0C6BC194,https://libgen.li/ads.php?md5=E9F46A50020F292EDAAE1A9B0C6BC194,
