,author,title,format,mirror0,mirror1,mirror2
0,Aleksandr Solženicyn,Gulago archipelagas (3),epub,http://books.ms/fiction/38A8BAE67C964F95D6D61B4E106C53B7,https://libgen.li/ads.php?md5=38A8BAE67C964F95D6D61B4E106C53B7,
1,Chris Carter,Genezė,epub,http://books.ms/fiction/3558298A9F57AC39E3EDB1A880C7B281,https://libgen.li/ads.php?md5=3558298A9F57AC39E3EDB1A880C7B281,
2,Dorothy Koomson,"Labanakt, gražuole",epub,http://books.ms/fiction/54880B9F4ABD4F78D1AEB6FED0564ADA,https://libgen.li/ads.php?md5=54880B9F4ABD4F78D1AEB6FED0564ADA,
3,Dorota Skwark,Penki iš vienos ankšties,epub,http://books.ms/fiction/197F5356F6E48639838FF7CBFA3C765E,https://libgen.li/ads.php?md5=197F5356F6E48639838FF7CBFA3C765E,
4,Dorota Skwark,Piemenaitė ir kaminkrėtys,epub,http://books.ms/fiction/705524A1A7846B0847244DFC72AB1FE1,https://libgen.li/ads.php?md5=705524A1A7846B0847244DFC72AB1FE1,
5,Dorota Skwark,Piktasis princas,epub,http://books.ms/fiction/FB74AEA89AD2764A896F8BA05F5A1F95,https://libgen.li/ads.php?md5=FB74AEA89AD2764A896F8BA05F5A1F95,
6,Tadas Zaikauskas,Gladiolės gladiatorei,epub,http://books.ms/fiction/B25961A901C1465DF68ED943F95D64D1,https://libgen.li/ads.php?md5=B25961A901C1465DF68ED943F95D64D1,
7,Anna Erishkigal,Laikrodininkas: trumpas apsakymas (Lithuanian Edition),epub,http://books.ms/fiction/CF24A4B23F8C310964DCA7C8328B6D04,https://libgen.li/ads.php?md5=CF24A4B23F8C310964DCA7C8328B6D04,
8,Anna Erishkigal,"Senovės didvyriai: ar novelė: Priešistorės serijos „Dievų kalavijas"" Užsakyti 1",epub,http://books.ms/fiction/7909220E4160F72A2D4C02B403ED7280,https://libgen.li/ads.php?md5=7909220E4160F72A2D4C02B403ED7280,
9,Inger Gammelgaard Madsen,Valytojas,epub,http://books.ms/fiction/D5C2FFBE1BEDFB954F87B009601A0713,https://libgen.li/ads.php?md5=D5C2FFBE1BEDFB954F87B009601A0713,
10,Inger Gammelgaard Madsen,Valytojas 1: Sąrašas,epub,http://books.ms/fiction/6020C05AADC0EDF5F1658216BBD729B3,https://libgen.li/ads.php?md5=6020C05AADC0EDF5F1658216BBD729B3,
11,Inger Gammelgaard Madsen,Valytojas 2: Šuolis,epub,http://books.ms/fiction/31F655FAE8FEFC4228B7CC8FDCD2365B,https://libgen.li/ads.php?md5=31F655FAE8FEFC4228B7CC8FDCD2365B,
12,Inger Gammelgaard Madsen,Valytojas 3: Švarkas,epub,http://books.ms/fiction/BC642657BB6E9C2CBF046CD586D08005,https://libgen.li/ads.php?md5=BC642657BB6E9C2CBF046CD586D08005,
13,Inger Gammelgaard Madsen,Valytojas 4: Nauji duomenys,epub,http://books.ms/fiction/F1C5C43BD36143A9EEBBE4860E792E32,https://libgen.li/ads.php?md5=F1C5C43BD36143A9EEBBE4860E792E32,
14,Inger Gammelgaard Madsen,Valytojas 5: Tu kitas,epub,http://books.ms/fiction/FE61E62A73040508D39DB10A357AA401,https://libgen.li/ads.php?md5=FE61E62A73040508D39DB10A357AA401,
15,Inger Gammelgaard Madsen,Valytojas 6: Valymas,epub,http://books.ms/fiction/F6BF71804682FB0756A73802B301AFE6,https://libgen.li/ads.php?md5=F6BF71804682FB0756A73802B301AFE6,
16,Peter Gotthardt,Elfų likimas I. Šarvuotieji kariai,epub,http://books.ms/fiction/37D3415BAD870C6EA0C60E7001DDA5AA,https://libgen.li/ads.php?md5=37D3415BAD870C6EA0C60E7001DDA5AA,
17,Jun'ichiro Tanizaki,Raktas,epub,http://books.ms/fiction/8A44A7E4A849BC4DD18AA4C96B960C82,https://libgen.li/ads.php?md5=8A44A7E4A849BC4DD18AA4C96B960C82,
18,Tim LaHaye,Nikolajus,epub,http://books.ms/fiction/03EF764B1F37C7ECED1B660CB86D9B8C,https://libgen.li/ads.php?md5=03EF764B1F37C7ECED1B660CB86D9B8C,
19,Tim LaHaye,Negandų pajėgos,epub,http://books.ms/fiction/847F42AA5E88EF48135BAFE90BDE202E,https://libgen.li/ads.php?md5=847F42AA5E88EF48135BAFE90BDE202E,
20,James Rollins,Judo padermė,epub,http://books.ms/fiction/1D905D3FD23B9BC26D2122F27DC10EB6,https://libgen.li/ads.php?md5=1D905D3FD23B9BC26D2122F27DC10EB6,
21,Anne Rice,Mumija arba Ramzis Prakeiktasis,epub,http://books.ms/fiction/FE4458AA0718D71F69CEE3455C830D4E,https://libgen.li/ads.php?md5=FE4458AA0718D71F69CEE3455C830D4E,
22,Giedrius Vilpišauskas,Vėjas nuo jūros,epub,http://books.ms/fiction/D220D594D099A5FD8EFFE98962102DA7,https://libgen.li/ads.php?md5=D220D594D099A5FD8EFFE98962102DA7,
23,James Rollins,Juodasis ordinas,epub,http://books.ms/fiction/A8E6ACA8BFE27D218E4A75CA17CF94AE,https://libgen.li/ads.php?md5=A8E6ACA8BFE27D218E4A75CA17CF94AE,
24,Andrzej Sapkowski,Elfų kraujas,epub,http://books.ms/fiction/D350082E0C18569B578E9C1CD070E399,https://libgen.li/ads.php?md5=D350082E0C18569B578E9C1CD070E399,
25,Harry Harrison,Montesumos kerštas,epub,http://books.ms/fiction/9A67407ACD861379F1DAD21DAFFC5D27,https://libgen.li/ads.php?md5=9A67407ACD861379F1DAD21DAFFC5D27,
26,Stephen King,Tamsusis bokštas (2),epub,http://books.ms/fiction/E531871C5CAF4A7F7468F96BDFDAE064,https://libgen.li/ads.php?md5=E531871C5CAF4A7F7468F96BDFDAE064,
27,Stephen King,Tamsusis bokštas (1),epub,http://books.ms/fiction/1BD978DBECABD59E7BE8CFDD3D2A9234,https://libgen.li/ads.php?md5=1BD978DBECABD59E7BE8CFDD3D2A9234,
28,Stephen King,Gyvulėlių kapinės,epub,http://books.ms/fiction/1471DC38AC6632154C1194684F7CAB26,https://libgen.li/ads.php?md5=1471DC38AC6632154C1194684F7CAB26,
29,Jonathan Margolis,Intymioji orgazmo istorija,epub,http://books.ms/fiction/48978C7DF077C2F543AD623C5715B622,https://libgen.li/ads.php?md5=48978C7DF077C2F543AD623C5715B622,
30,Edvinas Kalėda,Svetimi,epub,http://books.ms/fiction/80C2C879A52C91F437AC0E9D3C061E68,https://libgen.li/ads.php?md5=80C2C879A52C91F437AC0E9D3C061E68,
31,Marian Keyes,Sušis pradinukams,epub,http://books.ms/fiction/0A3DD70113F12E507AE10F73B2746C93,https://libgen.li/ads.php?md5=0A3DD70113F12E507AE10F73B2746C93,
32,Harry Harrison,Plieninė Žiurkė spąstuose,epub,http://books.ms/fiction/30924117838EC70D2EA50808D8CDF6DD,https://libgen.li/ads.php?md5=30924117838EC70D2EA50808D8CDF6DD,
33,Brian Tracy,"Įpročiai, verti milijono",epub,http://books.ms/fiction/9D0AA91418E1A370C6EFB74C0359F244,https://libgen.li/ads.php?md5=9D0AA91418E1A370C6EFB74C0359F244,
34,Jude Deveraux,Amžinybė,epub,http://books.ms/fiction/2D040C708AB33BE9E4FCCD0191048A13,https://libgen.li/ads.php?md5=2D040C708AB33BE9E4FCCD0191048A13,
35,Honoré de Balzac,Gobsekas. Pulkininkas Šaberas. Bedievio mišios,epub,http://books.ms/fiction/500074A37237223B7391269C39C07793,https://libgen.li/ads.php?md5=500074A37237223B7391269C39C07793,
36,Michael Crichton,Laiko linija,epub,http://books.ms/fiction/3B952027E92A075CE46FE05010B400AF,https://libgen.li/ads.php?md5=3B952027E92A075CE46FE05010B400AF,
37,Arthur Golden,Geišos išpažintis,epub,http://books.ms/fiction/B5A3F70C10C6A3031B4085D02D287D3D,https://libgen.li/ads.php?md5=B5A3F70C10C6A3031B4085D02D287D3D,
38,Bruno Sutkus,Snaiperis,epub,http://books.ms/fiction/6C4E13AF0115FC81F62DDE873778BD62,https://libgen.li/ads.php?md5=6C4E13AF0115FC81F62DDE873778BD62,
39,Agatha Christie,Paskui ateina mirtis,epub,http://books.ms/fiction/1FFB2499E5BCD88469F62104634347A5,https://libgen.li/ads.php?md5=1FFB2499E5BCD88469F62104634347A5,
40,Agatha Christie,Pavojus Endhauze,epub,http://books.ms/fiction/98F739AA011F00673E9D68DB9C455F98,https://libgen.li/ads.php?md5=98F739AA011F00673E9D68DB9C455F98,
41,Agatha Christie,Dilema Polensos kurorte,epub,http://books.ms/fiction/6C9DCF586549ED20A24A9D03D6FD6202,https://libgen.li/ads.php?md5=6C9DCF586549ED20A24A9D03D6FD6202,
42,Agatha Christie,Tiria Parkeris Painas,epub,http://books.ms/fiction/A830B1433BF87D7DBF8AD852559BDFB2,https://libgen.li/ads.php?md5=A830B1433BF87D7DBF8AD852559BDFB2,
43,Agatha Christie,"Viens, du, užsek man batus",epub,http://books.ms/fiction/FC234BECFAF83E7CA506F91265EEA21B,https://libgen.li/ads.php?md5=FC234BECFAF83E7CA506F91265EEA21B,
44,Agatha Christie,Blogis po saule,epub,http://books.ms/fiction/718E35A1D82EB3D8739178DF9931D2BB,https://libgen.li/ads.php?md5=718E35A1D82EB3D8739178DF9931D2BB,
45,Agatha Christie,Paslaptingasis misteris Kvinas,epub,http://books.ms/fiction/DB57326CA3C471FD7FEC6A8903725185,https://libgen.li/ads.php?md5=DB57326CA3C471FD7FEC6A8903725185,
46,Agatha Christie,Laikrodžiai,epub,http://books.ms/fiction/B3D480A46D5E4DFCFA1D44F68FD77943,https://libgen.li/ads.php?md5=B3D480A46D5E4DFCFA1D44F68FD77943,
47,Agatha Christie,Palšas žirgas,epub,http://books.ms/fiction/04FB18A79D8CDD2FEF7626DA946434AD,https://libgen.li/ads.php?md5=04FB18A79D8CDD2FEF7626DA946434AD,
48,Agatha Christie,Keleivis į Frankfurtą,epub,http://books.ms/fiction/6B8A3FF31E4F1CC083BF9F9E666E1643,https://libgen.li/ads.php?md5=6B8A3FF31E4F1CC083BF9F9E666E1643,
49,Agatha Christie,Po laidotuvių,epub,http://books.ms/fiction/5D83E33A9C5AF9B60FD7258D09EB7449,https://libgen.li/ads.php?md5=5D83E33A9C5AF9B60FD7258D09EB7449,
50,Agatha Christie,Kalėdų pudingas,epub,http://books.ms/fiction/DC03BA9B4F190E33FD7E6E73608DD17C,https://libgen.li/ads.php?md5=DC03BA9B4F190E33FD7E6E73608DD17C,
51,Guy de Maupassant,Nenaudingas grožis,epub,http://books.ms/fiction/8A24AFD3B1497042D73533F2D5258D18,https://libgen.li/ads.php?md5=8A24AFD3B1497042D73533F2D5258D18,
52,Alexandre Dumas,Vilkų vadas,epub,http://books.ms/fiction/CAE7B0FB83D512E81D0DE12C2E7AD4F4,https://libgen.li/ads.php?md5=CAE7B0FB83D512E81D0DE12C2E7AD4F4,
53,Alexandre Dumas,Izabelė Bavarietė,epub,http://books.ms/fiction/90842FC4959528C523F3720C4E587638,https://libgen.li/ads.php?md5=90842FC4959528C523F3720C4E587638,
54,Lionginas Baliukevičius,Liongino Baliukevičiaus - partizano Dzūko dienoraštis,epub,http://books.ms/fiction/2190A79D525504A16B5F994A1EB0DB2B,https://libgen.li/ads.php?md5=2190A79D525504A16B5F994A1EB0DB2B,
55,John Grisham,Sėkmės šauklys,epub,http://books.ms/fiction/4682E164BD9232869D9E62EC9B4DAAE6,https://libgen.li/ads.php?md5=4682E164BD9232869D9E62EC9B4DAAE6,
56,Géza Gárdonyi,Egerio žvaigždės,epub,http://books.ms/fiction/04A03C3173E9B96BA0AD7B1CAD898FE5,https://libgen.li/ads.php?md5=04A03C3173E9B96BA0AD7B1CAD898FE5,
57,Birutė Mackonytė,Uždengta korta,epub,http://books.ms/fiction/69A711408AC488FD8B3273B888A70B11,https://libgen.li/ads.php?md5=69A711408AC488FD8B3273B888A70B11,
58,Kenzaburo Oe,Asmeninė patirtis,epub,http://books.ms/fiction/6DFA9E26BAF1EFB258A650C8A0942468,https://libgen.li/ads.php?md5=6DFA9E26BAF1EFB258A650C8A0942468,
59,Nijolė Degutienė,Mano mamos sveikatos knygelė,epub,http://books.ms/fiction/D50590A50FEA57CCB486194A4962865E,https://libgen.li/ads.php?md5=D50590A50FEA57CCB486194A4962865E,
60,Agatha Christie,Kreivas Nameliūkštis,epub,http://books.ms/fiction/171CA69F89A2C9587334669D65CF6F6E,https://libgen.li/ads.php?md5=171CA69F89A2C9587334669D65CF6F6E,
61,Džudi Devero (Jude Deveraux),Pakeista nuotaka,epub,http://books.ms/fiction/A6EDCBD7A9155F0D6683072CEA3CE717,https://libgen.li/ads.php?md5=A6EDCBD7A9155F0D6683072CEA3CE717,
62,Thomas Mayne Reid,Baltaveidis vadas,epub,http://books.ms/fiction/F2020147B853BA0DFDB8498AF638A1DA,https://libgen.li/ads.php?md5=F2020147B853BA0DFDB8498AF638A1DA,
63,Justinas Lelešius-Grafas,Partizanų kapeliono dienoraštis,epub,http://books.ms/fiction/545F299E41E43E1DD4F6451F56EAB118,https://libgen.li/ads.php?md5=545F299E41E43E1DD4F6451F56EAB118,
64,Agatha Christie,Katė tarp balandžių,epub,http://books.ms/fiction/F9791D96CEA0C5F5177CC7FFBE605B4E,https://libgen.li/ads.php?md5=F9791D96CEA0C5F5177CC7FFBE605B4E,
65,Jules Verne,Kelionė į Žemės centrą,epub,http://books.ms/fiction/6BA10D349FF007AADE2C1F4E5C5732A0,https://libgen.li/ads.php?md5=6BA10D349FF007AADE2C1F4E5C5732A0,
66,Jules Verne,„Čensleris”,epub,http://books.ms/fiction/F75F52EB1DA6592C9FFF070E04D6B3D4,https://libgen.li/ads.php?md5=F75F52EB1DA6592C9FFF070E04D6B3D4,
67,Jules Verne,Karpatų pilis,epub,http://books.ms/fiction/4CE3EBAC3C6A29E181041F3728BF6486,https://libgen.li/ads.php?md5=4CE3EBAC3C6A29E181041F3728BF6486,
68,Stephen King,Dvikova (2),epub,http://books.ms/fiction/A5B518E6B3EC7BCEEC1E793BB7812698,https://libgen.li/ads.php?md5=A5B518E6B3EC7BCEEC1E793BB7812698,
69,Stephen King,Dvikova (1),epub,http://books.ms/fiction/D676FA4615835C8CBD952CC24F05EAC7,https://libgen.li/ads.php?md5=D676FA4615835C8CBD952CC24F05EAC7,
70,Dick K. Philip,Ubikas,epub,http://books.ms/fiction/18622C5A80C84DE62BBBC453E3882028,https://libgen.li/ads.php?md5=18622C5A80C84DE62BBBC453E3882028,
71,Alexandre Dumas,Napoleonas,epub,http://books.ms/fiction/99C84AB2A372EB53F44F3579E8A6B5D4,https://libgen.li/ads.php?md5=99C84AB2A372EB53F44F3579E8A6B5D4,
72,Alexandre Dumas,Salvatorius (1),epub,http://books.ms/fiction/DEF3200895D2260CAE3D46D72C7C837C,https://libgen.li/ads.php?md5=DEF3200895D2260CAE3D46D72C7C837C,
73,Alexandre Dumas,Vikontas de Braželonas (5),epub,http://books.ms/fiction/566277AA02FD782E677868311BABA9FF,https://libgen.li/ads.php?md5=566277AA02FD782E677868311BABA9FF,
74,Alexandre Dumas,Vikontas de Braželonas (4),epub,http://books.ms/fiction/A7B92007100B6F42F10B66716246A7D5,https://libgen.li/ads.php?md5=A7B92007100B6F42F10B66716246A7D5,
75,Alexandre Dumas,Vikontas de Braželonas (3),epub,http://books.ms/fiction/1CFAF417A8205FF8948514A4397E2840,https://libgen.li/ads.php?md5=1CFAF417A8205FF8948514A4397E2840,
76,Alexandre Dumas,Vikontas de Braželonas (1),epub,http://books.ms/fiction/C0C356F99DAF3F8C1A1FCA9E7886BC63,https://libgen.li/ads.php?md5=C0C356F99DAF3F8C1A1FCA9E7886BC63,
77,Alexandre Dumas,Pasakos (1),epub,http://books.ms/fiction/8B2B37D2C428A4554C485465FB5EE898,https://libgen.li/ads.php?md5=8B2B37D2C428A4554C485465FB5EE898,
78,Alexandre Dumas,Grafas Montekristas (3),epub,http://books.ms/fiction/AC1D75A235635DF11CEA4899A1DB1CA5,https://libgen.li/ads.php?md5=AC1D75A235635DF11CEA4899A1DB1CA5,
79,Alexandre Dumas,Grafas Montekristas (2),epub,http://books.ms/fiction/72E447A18079B3DB29F2EE4C5FB82AED,https://libgen.li/ads.php?md5=72E447A18079B3DB29F2EE4C5FB82AED,
80,Alexandre Dumas,Grafas Montekristas (1),epub,http://books.ms/fiction/E97070DD1219F6315D4A22F04F81F0AC,https://libgen.li/ads.php?md5=E97070DD1219F6315D4A22F04F81F0AC,
81,Alexandre Dumas,Grafienė de Monsoro (2),epub,http://books.ms/fiction/4E2CC9A3969F483C77603F9DB78F63B9,https://libgen.li/ads.php?md5=4E2CC9A3969F483C77603F9DB78F63B9,
82,Alexandre Dumas,Grafienė de Monsoro (1),epub,http://books.ms/fiction/69E8BF7A1E2076814356EE21CFFC4571,https://libgen.li/ads.php?md5=69E8BF7A1E2076814356EE21CFFC4571,
83,O.Henry,Sukčių novelės,epub,http://books.ms/fiction/042845BB4BB45A8B56CA1517A3A35056,https://libgen.li/ads.php?md5=042845BB4BB45A8B56CA1517A3A35056,
84,Alexandre Dumas,Askanijas,epub,http://books.ms/fiction/32E282BFCB7D0E4F4E772182201AB5D0,https://libgen.li/ads.php?md5=32E282BFCB7D0E4F4E772182201AB5D0,
85,Jack London,Protėvių šauksmas,epub,http://books.ms/fiction/B1AA1E0F4061D6E6DBBA90C98E349E34,https://libgen.li/ads.php?md5=B1AA1E0F4061D6E6DBBA90C98E349E34,
86,Arthur Hailey,Viešbutis,epub,http://books.ms/fiction/661462A03395BA1D4BB81F0BF3D735F2,https://libgen.li/ads.php?md5=661462A03395BA1D4BB81F0BF3D735F2,
87,Erle Stanley Gardner,Blondinė pamušta akimi,epub,http://books.ms/fiction/558F9B5B4F9B44BA7A23DFA078DEDD71,https://libgen.li/ads.php?md5=558F9B5B4F9B44BA7A23DFA078DEDD71,
88,Agatha Christie,Atsitikimas senoje pilyje,epub,http://books.ms/fiction/96E7A37E9CFD682A992C1DB5ECD34CFB,https://libgen.li/ads.php?md5=96E7A37E9CFD682A992C1DB5ECD34CFB,
89,François Mauriac,Gyvačių kamuolys,epub,http://books.ms/fiction/149745F77D26F6B0A573A21C16D0E1EF,https://libgen.li/ads.php?md5=149745F77D26F6B0A573A21C16D0E1EF,
90,Astrid Lindgren,"Mijo, mano Mijo",epub,http://books.ms/fiction/4631179198F730E38A93E7D5ACF81904,https://libgen.li/ads.php?md5=4631179198F730E38A93E7D5ACF81904,
91,Guy de Maupassant,Mont Oriolis,epub,http://books.ms/fiction/A0AB3F5010EEE1EFB0BA0B3D16D3DB2B,https://libgen.li/ads.php?md5=A0AB3F5010EEE1EFB0BA0B3D16D3DB2B,
92,Hans Werner Richter,Nežudyk,epub,http://books.ms/fiction/4625EE6F5477D1C8296B664194076A93,https://libgen.li/ads.php?md5=4625EE6F5477D1C8296B664194076A93,
93,Erich Maria Remarque,Šešėliai rojuje,epub,http://books.ms/fiction/695C754391923ADA1187280ECA0D4779,https://libgen.li/ads.php?md5=695C754391923ADA1187280ECA0D4779,
94,Žemaitė,Laimė nutekėjimo,epub,http://books.ms/fiction/254D2C13DC68F146E5D2AB2880C5A2D2,https://libgen.li/ads.php?md5=254D2C13DC68F146E5D2AB2880C5A2D2,
95,Jo Nesbø,Raudongurklė,epub,http://books.ms/fiction/4BB453302204E58CE3B1BA1C5EA38993,https://libgen.li/ads.php?md5=4BB453302204E58CE3B1BA1C5EA38993,
96,Gao Xingjian,Dvasios kalnas,epub,http://books.ms/fiction/CA96541EF634A1AFF356096EB19C9FA2,https://libgen.li/ads.php?md5=CA96541EF634A1AFF356096EB19C9FA2,
97,Bronius Radzevičius,Priešaušrio vieškeliai,epub,http://books.ms/fiction/30AF6CBB493CF03E82DFE90E66F0A011,https://libgen.li/ads.php?md5=30AF6CBB493CF03E82DFE90E66F0A011,
98,Cormac McCarthy,Kelias,epub,http://books.ms/fiction/A75A85B306FAE7CD83A144EA8743B295,https://libgen.li/ads.php?md5=A75A85B306FAE7CD83A144EA8743B295,
99,Janusz Głowacki,Paskutinis kiemsargis,epub,http://books.ms/fiction/79B9F4209D2D2F83733066DD7ACCFDDD,https://libgen.li/ads.php?md5=79B9F4209D2D2F83733066DD7ACCFDDD,
100,John Barth,Kelio pabaiga,epub,http://books.ms/fiction/247F377F68F908CCBD2A8C2911715FB5,https://libgen.li/ads.php?md5=247F377F68F908CCBD2A8C2911715FB5,
101,Iain Banks,Širšių fabrikas,epub,http://books.ms/fiction/5F5B3B58C753D97C2DD77A76138C5705,https://libgen.li/ads.php?md5=5F5B3B58C753D97C2DD77A76138C5705,
102,Jens Bjørneboe,Jūnas,epub,http://books.ms/fiction/3FAC48AF66C3E1F3B0866980EE5D02EC,https://libgen.li/ads.php?md5=3FAC48AF66C3E1F3B0866980EE5D02EC,
103,Jonas Mačiukevičius,Ilgas žiūrėjimas į žvaigždes,epub,http://books.ms/fiction/1079A70E275BFCA48F28EBBBDD0BADAA,https://libgen.li/ads.php?md5=1079A70E275BFCA48F28EBBBDD0BADAA,
104,Jonas Avyžius,Stebuklingas miestas,epub,http://books.ms/fiction/7650C643A88B2ABA0DE9D68ED4A73B61,https://libgen.li/ads.php?md5=7650C643A88B2ABA0DE9D68ED4A73B61,
105,Stephen King,Zalės Valda,epub,http://books.ms/fiction/E6E2BC6A78D72DBE825A0C57F80577CE,https://libgen.li/ads.php?md5=E6E2BC6A78D72DBE825A0C57F80577CE,
106,Stephen King,Gyvulėlių kapinės,epub,http://books.ms/fiction/531527EAB77AE361A9E4DA6A934EC386,https://libgen.li/ads.php?md5=531527EAB77AE361A9E4DA6A934EC386,
107,Jules Verne,Paslaptingoji sala,epub,http://books.ms/fiction/2B9A37E1792287F5AF545817AEDF6A5D,https://libgen.li/ads.php?md5=2B9A37E1792287F5AF545817AEDF6A5D,
108,Alexandre Dumas,Korsikos broliai,epub,http://books.ms/fiction/48A54B79F1108FD45F5F53F8FCF8B53B,https://libgen.li/ads.php?md5=48A54B79F1108FD45F5F53F8FCF8B53B,
109,Yasmina Khadra,Kerštas,epub,http://books.ms/fiction/AA57842264C6C1B4644198E130E947E2,https://libgen.li/ads.php?md5=AA57842264C6C1B4644198E130E947E2,
110,Aleksandr Solženicyn,Vėžininkų korpusas,epub,http://books.ms/fiction/631EAADC2C9C273FEA4472F50DEBAA90,https://libgen.li/ads.php?md5=631EAADC2C9C273FEA4472F50DEBAA90,
111,Aleksandr Solženicyn,Viena Ivano Denisovičiaus diena,epub,http://books.ms/fiction/3AFBF96AB43F1277F9B6B8AC22D489F2,https://libgen.li/ads.php?md5=3AFBF96AB43F1277F9B6B8AC22D489F2,
112,Judy Allen,Mėnulio akmenys,epub,http://books.ms/fiction/12CB452115901ACF44D469B507E92CC0,https://libgen.li/ads.php?md5=12CB452115901ACF44D469B507E92CC0,
113,William Somerset Maugham,Dažytas vualis,epub,http://books.ms/fiction/7CFB2398B5C20A045F84CD362AF35CA2,https://libgen.li/ads.php?md5=7CFB2398B5C20A045F84CD362AF35CA2,
114,Robert Merle,Aistrų sala,epub,http://books.ms/fiction/88EB0064FB43FA47AEB0B1BBF468B7D4,https://libgen.li/ads.php?md5=88EB0064FB43FA47AEB0B1BBF468B7D4,
115,Philip Freeman,Aleksandras Makedonietis,epub,http://books.ms/fiction/4F593716ABF63522ED6952F64A25999C,https://libgen.li/ads.php?md5=4F593716ABF63522ED6952F64A25999C,
116,John Updike,Teroristas,epub,http://books.ms/fiction/152C819971E0B93977ACD1E42010E7C2,https://libgen.li/ads.php?md5=152C819971E0B93977ACD1E42010E7C2,
117,Andreï Makine,Trumpų amžinų meilių knyga,epub,http://books.ms/fiction/6F4F043F462A4C8C6CBB2FE45EBC54BA,https://libgen.li/ads.php?md5=6F4F043F462A4C8C6CBB2FE45EBC54BA,
118,David Foenkinos,Subtilumas,epub,http://books.ms/fiction/79D7B75A848FD17FA1735070B2F0DAF1,https://libgen.li/ads.php?md5=79D7B75A848FD17FA1735070B2F0DAF1,
119,Conn Iggulden,Lanko viešpačiai,epub,http://books.ms/fiction/B677171AD426B0D216687558666FC9B0,https://libgen.li/ads.php?md5=B677171AD426B0D216687558666FC9B0,
120,Colleen McCullough,Misalongio moterys,epub,http://books.ms/fiction/B7755B69B79E520BC910FC6CA0EB4ACC,https://libgen.li/ads.php?md5=B7755B69B79E520BC910FC6CA0EB4ACC,
121,Alberto Angela,Viena diena senovės Romoje,epub,http://books.ms/fiction/15645BDBE7452BF38841A4005817DF68,https://libgen.li/ads.php?md5=15645BDBE7452BF38841A4005817DF68,
122,Gregory David Roberts,Šantaramas,epub,http://books.ms/fiction/CD37B3C9CEE7E4DB39A8BF9D0E7C6D13,https://libgen.li/ads.php?md5=CD37B3C9CEE7E4DB39A8BF9D0E7C6D13,
123,Camilla Läckberg,Ledo princesė,epub,http://books.ms/fiction/D4CD5A90E6B2413CA96663A641C3CF44,https://libgen.li/ads.php?md5=D4CD5A90E6B2413CA96663A641C3CF44,
124,Patrick Rothfuss,Vėjo vardas,epub,http://books.ms/fiction/33449935C5082A75496283CD6D951DF4,https://libgen.li/ads.php?md5=33449935C5082A75496283CD6D951DF4,
125,Robert Rowland Smith,Pusryčiai su Sokratu,epub,http://books.ms/fiction/677FCCA810D8364154327BE253A4ABAA,https://libgen.li/ads.php?md5=677FCCA810D8364154327BE253A4ABAA,
126,Cecil Scot Forester,Mičmanas Hornbloueris,epub,http://books.ms/fiction/5E58CCAD89F84BC64BE650D2D52E6297,https://libgen.li/ads.php?md5=5E58CCAD89F84BC64BE650D2D52E6297,
127,Conn Iggulden,Tyrų vilkas,epub,http://books.ms/fiction/0493E1675DF30CD95A318EFEA0749031,https://libgen.li/ads.php?md5=0493E1675DF30CD95A318EFEA0749031,
128,Ernestas Parulskis,Kasdienybės kunstkamera,epub,http://books.ms/fiction/4F7B9BA78503BA32C72A034600DAE7BB,https://libgen.li/ads.php?md5=4F7B9BA78503BA32C72A034600DAE7BB,
129,Mika Waltari,Karina Mauno duktė,epub,http://books.ms/fiction/1E7997B5046C1519D323549114AAF09B,https://libgen.li/ads.php?md5=1E7997B5046C1519D323549114AAF09B,
130,Mika Waltari,Karalystės paslaptis,epub,http://books.ms/fiction/BF10B02C8EAFDCDEBCDE016F572B4456,https://libgen.li/ads.php?md5=BF10B02C8EAFDCDEBCDE016F572B4456,
131,Pascal Mercier,Naktinis traukinys į Lisaboną,epub,http://books.ms/fiction/84352B0DB6672F106C50008250FA102D,https://libgen.li/ads.php?md5=84352B0DB6672F106C50008250FA102D,
132,Per Petterson,Vogti arklius,epub,http://books.ms/fiction/964DE454FFBA855B64067CE4A90526B9,https://libgen.li/ads.php?md5=964DE454FFBA855B64067CE4A90526B9,
133,Benoîte Groult,Gyvenimo druska,epub,http://books.ms/fiction/D8DE02095CC47C40452206932D5A91C2,https://libgen.li/ads.php?md5=D8DE02095CC47C40452206932D5A91C2,
134,Michael Ridpath,Lemtinga klaida,epub,http://books.ms/fiction/3813A6DE788703329FCF6180669091C4,https://libgen.li/ads.php?md5=3813A6DE788703329FCF6180669091C4,
135,John Katzenbach,Kilnus tikslas,epub,http://books.ms/fiction/9F43F5BE43E6E4657EFF64C2140D512E,https://libgen.li/ads.php?md5=9F43F5BE43E6E4657EFF64C2140D512E,
136,Françoise Sagan,Savotiška šypsena,epub,http://books.ms/fiction/A38C9CC5358BB5304EBC52465A277E24,https://libgen.li/ads.php?md5=A38C9CC5358BB5304EBC52465A277E24,
137,Frank McCourt,Tamsta mokytojas,epub,http://books.ms/fiction/3BC324C870CF1D42F944C9E2EAC78593,https://libgen.li/ads.php?md5=3BC324C870CF1D42F944C9E2EAC78593,
138,Justinas Žilinskas,Gugis - girių kaukas ir žmonių draugas,epub,http://books.ms/fiction/81215EBBEAA5EA53588621CDD79898A3,https://libgen.li/ads.php?md5=81215EBBEAA5EA53588621CDD79898A3,
